stunde;theta_e;I_N;I_N_dir;I_N_dif;I_E;I_E_dir;I_E_dif;I_S;I_S_dir;I_S_dif;I_W;I_W_dir;I_W_dif;I_H;I_H_dir;I_H_dif
4805;16.1;0.507;0.0;0.507;0.507;0.0;0.507;0.507;0.0;0.507;0.507;0.0;0.507;1;0;1
4806;17.2;108.497;71.413;37.083;217.78;180.697;37.083;37.083;0.0;37.083;37.083;0.0;37.083;76.095;22.437;53.658
4807;19.4;231.783;126.101;105.681;666.741;561.059;105.681;105.681;0.0;105.681;105.681;0.0;105.681;318.052;182.395;135.656
4808;22.8;188.667;48.809;139.857;884.221;744.364;139.857;139.857;0.0;139.857;139.857;0.0;139.857;550.829;413.465;137.364
4809;25.6;150.363;0.0;150.363;914.103;763.74;150.363;231.096;80.733;150.363;150.363;0.0;150.363;748.278;656.243;92.035
4810;27.8;157.434;0.0;157.434;774.776;617.343;157.434;360.21;202.776;157.434;157.434;0.0;157.434;894.496;825.118;69.378
4811;29.4;155.189;0.0;155.189;558.507;403.318;155.189;446.939;291.75;155.189;155.189;0.0;155.189;984.66;938.98;45.679
4812;30;147.203;0.0;147.203;300.802;153.599;147.203;484.031;336.828;147.203;147.203;0.0;147.203;1016.838;989.883;26.955
4813;31.7;137.79;0.0;137.79;137.79;0.0;137.79;473.25;335.46;137.79;240.443;102.653;137.79;997.051;978.775;18.276
4814;32.2;127.974;0.0;127.974;127.974;0.0;127.974;414.932;286.958;127.974;465.136;337.162;127.974;924.876;900.281;24.595
4815;32.2;112.754;0.0;112.754;112.754;0.0;112.754;312.855;200.1;112.754;633.891;521.136;112.754;799.098;764.549;34.55
4816;32.8;84.146;0.0;84.146;84.146;0.0;84.146;177.126;92.98;84.146;735.912;651.766;84.146;627.798;607.752;20.046
4817;32.8;77.332;23.518;53.814;53.814;0.0;53.814;53.814;0.0;53.814;736.401;682.587;53.814;423.765;413.793;9.972
4818;31.7;150.99;105.532;45.457;45.457;0.0;45.457;45.457;0.0;45.457;589.489;544.032;45.457;221.343;199.134;22.21
